"CLASIFICACIÓN POR
FINALIDAD  Y FUNCIÓN";TOTAL;DEPARTAMENTO EJECUTIVO;SECRETARIA DE GOBIERNO, PARTICIPACION CIUDADANA Y DESARROLLO SOCIAL;SECRETARIA DE ECONOMIA Y FINANZAS;SECRETARIA DE SERVICIOS PUBLICOS;SECRETARIA GENERAL;SECRETARIA DE SALUD;SECRETARIA DE PLANEAMIENTO E INFRAESTRUCTURA;TRIBUNAL DE CUENTAS;"ADMINISTRACION GENERAL DE LA JUSTICIA ADMINISTRATIVA
MUNICIPAL DE FALTAS";CONCEJO DELIBERANTE;SECRETARIA DE EDUCACION;SECRETARIA DE CULTURA;SECRETARIA DE CONTROL, FISCALIZACION Y CONVIVENCIA CIUDADANA;SECRETARIA DE MODERNIZACION, COMUNICACION Y DESARROLLO ESTRATEGICO;;;;;;;;;;;;;;;;
TOTAL GENERAL;20.088.528.457;283.718.685;2.519.597.142;2.481.473.854;4.203.136.363;725.306.193;2.334.862.835;4.820.100.220;142.911.013;152.133.118;246.675.680;1.389.458.566;232.187.695;269.361.227;287.605.866;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01      ADMINISTRACION GENERAL;4.011.501.146;247.306.379;704.898.186;641.847.269;47.464.689;653.320.101;409.017.961;166.005.888;142.911.013;152.133.118;246.675.680;203.217.222;57.388.140;51.709.634;287.605.866;;;;;;;;;;;;;;;;
01      CONDUCCION EJECUTIVA;1.349.563.021;170.724.140;103.058.183;52.205.189;47.464.689;190.751.035;409.017.961;84.830.885;;;;203.217.222;57.388.140;24.605.463;6.300.113;;;;;;;;;;;;;;;;
02      ADMINISTRACION FISCAL;524.172.858;;;524.172.858;;;;;;;;;;;;;;;;;;;;;;;;;;;
03      CONTROL FISCAL;142.911.013;;;;;;;;142.911.013;;;;;;;;;;;;;;;;;;;;;;
04      LEGISLACION;246.675.680;;;;;;;;;;246.675.680;;;;;;;;;;;;;;;;;;;;
05      ADMINISTRACION GRAL SIN DISCRIM.;1.748.178.575;76.582.240;601.840.003;65.469.222;;462.569.066;;81.175.003;;152.133.118;;;;27.104.170;281.305.753;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02      SANIDAD;2.557.933.308;;;;;;1.880.745.777;677.187.531;;;;;;;;;;;;;;;;;;;;;;;
01      ATENCION MEDICA;1.824.804.515;;;;;;1.824.804.515;;;;;;;;;;;;;;;;;;;;;;;;
02      INGENIERIA SANITARIA;603.220.565;;;;;;;603.220.565;;;;;;;;;;;;;;;;;;;;;;;
03      SANIDAD SIN DISCRIMINAR;129.908.229;;;;;;55.941.262;73.966.967;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03      SERVICIOS ESPECIALES URBANOS;4.691.765.624;;800.000;288.000.000;4.155.671.674;;;128.039.681;;;;;;119.254.270;;;;;;;;;;;;;;;;;
01      HIGIENE URBANA;3.327.149.559;;;;3.327.149.559;;;;;;;;;;;;;;;;;;;;;;;;;;
02      CEMENTERIOS;124.681.695;;;;;;;124.681.695;;;;;;;;;;;;;;;;;;;;;;;
03      ABASTECIMIENTO URBANO;28.905.684;;;;;;;;;;;;;28.905.684;;;;;;;;;;;;;;;;;
04      TRANSPORTE Y TRANSITO;829.322.115;;800.000;;828.522.115;;;;;;;;;;;;;;;;;;;;;;;;;;
05      SERV.ESPEC.URBANOS SIN DISCRIMINAR;381.706.571;;;288.000.000;;;;3.357.986;;;;;;90.348.585;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04      CULTURA Y EDUCACION;1.418.563.649;2.600.000;;;;;;54.922.750;;;;1.186.241.344;174.799.555;;;;;;;;;;;;;;;;;;
01      CULTURA;202.399.555;2.600.000;;;;;;25.000.000;;;;;174.799.555;;;;;;;;;;;;;;;;;;
02      EDUCACION;1.208.600.374;;;;;;;29.922.750;;;;1.178.677.624;;;;;;;;;;;;;;;;;;;
03      CULTURA Y EDUCACION SIN DISCRIMINAR;7.563.720;;;;;;;;;;;7.563.720;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05      DESARROLLO DE LA ECONOMIA;3.678.796.795;30.812.305;;;;;;3.576.873.244;;;;;;71.111.245;;;;;;;;;;;;;;;;;
01      INFRAESTRUCTURA VIAL;2.247.761.299;;;;;;;2.247.761.299;;;;;;;;;;;;;;;;;;;;;;;
02      ALUMBRADO Y GAS;661.344.015;;;;;;;661.344.015;;;;;;;;;;;;;;;;;;;;;;;
03      TURISMO;30.812.305;30.812.305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04      DESARROLLO DE LA ECON.SIN DISCRIM.;738.879.176;;;;;;;667.767.931;;;;;;71.111.245;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06      BIENESTAR SOCIAL;2.178.341.350;3.000.000;1.813.898.955;;;71.986.092;45.099.097;217.071.126;;;;;;27.286.079;;;;;;;;;;;;;;;;;
01      PROMOCION Y ASISTENCIA SOCIAL;299.941.001;;182.855.812;;;71.986.092;45.099.097;;;;;;;;;;;;;;;;;;;;;;;;
02      DEPORTES Y RECREACION;178.140.357;;178.140.357;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03      VIVIENDA Y URBANISMO;1.426.485.430;;1.209.414.304;;;;;217.071.126;;;;;;;;;;;;;;;;;;;;;;;
04      BIENESTAR SOCIAL SIN DISCRIMINAR;273.774.562;3.000.000;243.488.483;;;;;;;;;;;27.286.079;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07      DEUDA PUBLICA;600.000.000;;;600.000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;
01      DEUDA PUBLICA;600.000.000;;;600.000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08      GASTOS A CLASIFICAR;951.626.585;;;951.626.585;;;;;;;;;;;;;;;;;;;;;;;;;;;
01      GASTOS A CLASIF. POR DISTRIBUCION;951.626.585;;;951.626.585;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL GENERAL NETO;20.088.528.457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
